video_id,views,likes,comments,crawl_date
4OoVjsZ8qMc,775,34,11,2025-11-25T03:45:57.677481+00:00
4QkSycscpOM,14546,114,0,2025-11-25T03:45:57.677483+00:00
4TKEM2Px4ho,303,10,2,2025-11-25T03:45:57.677486+00:00
4UoDVdWT8_E,25068,76,0,2025-11-25T03:45:57.677488+00:00
4UvcDgOrsWU,14254,128,4,2025-11-25T03:45:57.677491+00:00
4VWtR_vd7OA,43029,221,0,2025-11-25T03:45:57.677493+00:00
4VZMDr_tZJo,376801,3437,1595,2025-11-25T03:45:57.677495+00:00
4VcENE96B_U,3329,16,0,2025-11-25T03:45:57.677498+00:00
4XUW7uQliUc,1342,22,3,2025-11-25T03:45:58.331018+00:00
4XwKDco-Ss8,1829602,31210,169,2025-11-25T03:45:58.331038+00:00
4YGZYgZSsoc,1705700,46466,518,2025-11-25T03:45:58.331042+00:00
4ZZl5Bgj8A8,490,39,0,2025-11-25T03:45:58.331045+00:00
4ZcxORFnhak,14873,207,4,2025-11-25T03:45:58.331049+00:00
4_gR0pgbMJU,908918,46314,3231,2025-11-25T03:45:58.331052+00:00
4a4Vx2v77X8,2437650,9295,2,2025-11-25T03:45:58.331055+00:00
4a_jRMRR_ks,269129,1854,17,2025-11-25T03:45:58.331058+00:00
4boi5dqRyNE,26653,0,0,2025-11-25T03:45:58.331061+00:00
4cNElvKVV-c,896125,11315,214,2025-11-25T03:45:58.331064+00:00
4cWqgKe0cs0,19948,34,0,2025-11-25T03:45:58.331067+00:00
4evq0q1GWmI,10063,0,0,2025-11-25T03:45:58.331070+00:00
4fG5mVg5OHU,11382,0,0,2025-11-25T03:45:58.331073+00:00
4iW2WsTEKbU,257606,0,656,2025-11-25T03:45:58.331075+00:00
4iwivllbMK4,8307,0,2,2025-11-25T03:45:58.331078+00:00
4iyszCjKzwE,2611,94,0,2025-11-25T03:45:58.331081+00:00
4jr388HIaRo,902,16,0,2025-11-25T03:45:58.331084+00:00
4l_CPUJnWS4,72609,1295,16,2025-11-25T03:45:58.331087+00:00
4li86KL5DXk,30402,178,1,2025-11-25T03:45:58.331090+00:00
4ohe0jV6g0s,1236,28,0,2025-11-25T03:45:58.331093+00:00
4pDiko0T0QM,31800,515,11,2025-11-25T03:45:58.331095+00:00
4qyVGdfPVHw,47160,497,0,2025-11-25T03:45:58.331098+00:00
4rUkMMUPgh4,42512,283,0,2025-11-25T03:45:58.331101+00:00
4tZfyln_s7w,4942,19,1,2025-11-25T03:45:58.331104+00:00
4u2UCHDf9ZA,1207,16,0,2025-11-25T03:45:58.331106+00:00
4uiPukcdHg0,2654,61,0,2025-11-25T03:45:58.331109+00:00
4vY7avy9344,4034,0,2,2025-11-25T03:45:58.331112+00:00
4wozMDa4l94,5183,14,0,2025-11-25T03:45:58.331115+00:00
4wr3vHRmoJI,125360,1296,2,2025-11-25T03:45:58.331118+00:00
4wx7jyn7LF4,1065,0,0,2025-11-25T03:45:58.331121+00:00
4xABM6a8W4I,7221,29,0,2025-11-25T03:45:58.331123+00:00
4ytTRTxVt44,16,2,1,2025-11-25T03:45:58.331126+00:00
50aH__7u-Zg,284154,1495,4,2025-11-25T03:45:58.331129+00:00
51eWhEQS4LE,8519,0,0,2025-11-25T03:45:58.331132+00:00
52B0NbZoMyA,5290,88,8,2025-11-25T03:45:58.331135+00:00
54HesI7xig4,3005,90,8,2025-11-25T03:45:58.331137+00:00
55p6F8lFGnU,2599837,107822,897,2025-11-25T03:45:58.331140+00:00
55xaaPUxFzg,7046,111,0,2025-11-25T03:45:58.331143+00:00
56zqdytgjaI,1447,6,0,2025-11-25T03:45:58.331146+00:00
59LwUfaAmCI,1522,14,0,2025-11-25T03:45:58.331149+00:00
59tV4ik_R-k,8568,0,4,2025-11-25T03:45:58.331152+00:00
59xPYmFtf8Q,81702,360,4,2025-11-25T03:45:58.331155+00:00
5A7wn3NvGdE,21,4,0,2025-11-25T03:45:58.331157+00:00
